Date,Category,Region,Sales,Units,Returns,Month,Profit
2024-11-12 03:19:49.303520,Electronics,North,3898,42,2,2024-11,1095
2024-11-12 03:19:49.303520,Electronics,South,2895,30,1,2024-11,831
2024-11-12 03:19:49.303520,Electronics,East,5233,127,2,2024-11,1791
2024-11-12 03:19:49.303520,Electronics,West,3774,77,2,2024-11,845
2024-11-12 03:19:49.303520,Clothing,North,2226,36,0,2024-11,420
2024-11-12 03:19:49.303520,Clothing,South,3533,35,1,2024-11,897
2024-11-12 03:19:49.303520,Clothing,East,3690,49,3,2024-11,883
2024-11-12 03:19:49.303520,Clothing,West,2826,128,9,2024-11,871
2024-11-12 03:19:49.303520,Home & Garden,North,1345,18,0,2024-11,444
2024-11-12 03:19:49.303520,Home & Garden,South,3612,45,1,2024-11,604
2024-11-12 03:19:49.303520,Home & Garden,East,3371,61,1,2024-11,1076
2024-11-12 03:19:49.303520,Home & Garden,West,4646,221,10,2024-11,1541
2024-11-12 03:19:49.303520,Books,North,2948,35,2,2024-11,987
2024-11-12 03:19:49.303520,Books,South,2677,50,2,2024-11,810
2024-11-12 03:19:49.303520,Books,East,2364,25,1,2024-11,705
2024-11-12 03:19:49.303520,Books,West,2360,29,1,2024-11,361
2024-11-12 03:19:49.303520,Sports,North,3898,90,3,2024-11,1302
2024-11-12 03:19:49.303520,Sports,South,2583,32,1,2024-11,569
2024-11-12 03:19:49.303520,Sports,East,3690,41,1,2024-11,583
2024-11-12 03:19:49.303520,Sports,West,1895,70,1,2024-11,440
2024-11-12 03:19:49.303520,Toys,North,2480,45,2,2024-11,735
2024-11-12 03:19:49.303520,Toys,South,2342,39,2,2024-11,558
2024-11-12 03:19:49.303520,Toys,East,445,6,0,2024-11,134
2024-11-12 03:19:49.303520,Toys,West,5194,92,5,2024-11,1308
2024-11-13 03:19:49.303520,Electronics,North,3143,47,2,2024-11,659
2024-11-13 03:19:49.303520,Electronics,South,4017,167,8,2024-11,765
2024-11-13 03:19:49.303520,Electronics,East,3525,36,1,2024-11,825
2024-11-13 03:19:49.303520,Electronics,West,2048,28,1,2024-11,321
2024-11-13 03:19:49.303520,Clothing,North,2832,83,5,2024-11,664
2024-11-13 03:19:49.303520,Clothing,South,2256,70,1,2024-11,369
2024-11-13 03:19:49.303520,Clothing,East,3093,50,3,2024-11,1006
2024-11-13 03:19:49.303520,Clothing,West,4259,170,8,2024-11,1129
2024-11-13 03:19:49.303520,Home & Garden,North,3348,41,1,2024-11,934
2024-11-13 03:19:49.303520,Home & Garden,South,2506,54,2,2024-11,520
2024-11-13 03:19:49.303520,Home & Garden,East,3019,33,1,2024-11,589
2024-11-13 03:19:49.303520,Home & Garden,West,1157,14,0,2024-11,337
2024-11-13 03:19:49.303520,Books,North,4455,57,2,2024-11,1266
2024-11-13 03:19:49.303520,Books,South,2241,31,1,2024-11,391
2024-11-13 03:19:49.303520,Books,East,2116,36,1,2024-11,418
2024-11-13 03:19:49.303520,Books,West,3791,50,1,2024-11,1286
2024-11-13 03:19:49.303520,Sports,North,3147,157,5,2024-11,663
2024-11-13 03:19:49.303520,Sports,South,2344,32,1,2024-11,363
2024-11-13 03:19:49.303520,Sports,East,3793,51,3,2024-11,617
2024-11-13 03:19:49.303520,Sports,West,1757,48,3,2024-11,536
2024-11-13 03:19:49.303520,Toys,North,3524,117,8,2024-11,1062
2024-11-13 03:19:49.303520,Toys,South,3199,34,1,2024-11,724
2024-11-13 03:19:49.303520,Toys,East,4811,61,2,2024-11,869
2024-11-13 03:19:49.303520,Toys,West,2603,30,2,2024-11,649
2024-11-14 03:19:49.303520,Electronics,North,3726,71,3,2024-11,806
2024-11-14 03:19:49.303520,Electronics,South,3873,193,11,2024-11,870
